bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5835.0,1085.0,4750.0,18.594687232219364,81.40531276778063,5835.0,1085.0,4750.0,0.18867169907124834,56.675814341963964,56.487142642892714,0.22842105263157894,4750000.0,434000.0,4316000.0
2.0,5834.0,5439.0,395.0,93.22934521768941,6.7706547823105865,11669.0,6524.0,5145.0,1.1344646679638932,61.38885574513781,60.25439107717392,1.2680272108843538,5145000.0,2609600.0,2535400.0
3.0,5835.0,5734.0,101.0,98.26906598114824,1.7309340188517552,17504.0,12258.0,5246.0,2.1315554720878915,62.593962534303785,60.462407062215895,2.3366374380480366,5246000.0,4903200.0,342800.0
4.0,5834.0,5763.0,71.0,98.78299622900239,1.2170037709976071,23338.0,18021.0,5317.0,3.133689114251582,63.441116811836295,60.307427697584714,3.38931728418281,5317000.0,7208400.0,-1891400.0
5.0,5835.0,5785.0,50.0,99.14310197086547,0.856898029134527,29173.0,23806.0,5367.0,4.139648357686763,64.03770433122538,59.89805597353862,4.435625116452394,5367000.0,9522400.0,-4155400.0
6.0,5834.0,5780.0,54.0,99.07439149811451,0.9256085018854918,35007.0,29586.0,5421.0,5.144738146287515,64.68201885216561,59.537280705878096,5.457664637520753,5421000.0,11834400.0,-6413400.0
7.0,5835.0,5768.0,67.0,98.85175664095972,1.1482433590402792,40842.0,35354.0,5488.0,6.147741243285635,65.481446128147,59.33370488486136,6.442055393586005,5488000.0,14141600.0,-8653600.0
8.0,5834.0,5784.0,50.0,99.14295509084675,0.8570449091532453,46676.0,41138.0,5538.0,7.15352659575393,66.07803364753609,58.92450705178216,7.428313470566992,5538000.0,16455200.0,-10917200.0
9.0,5835.0,5805.0,30.0,99.48586118251929,0.5141388174807133,52511.0,46943.0,5568.0,8.16296365852683,66.43598615916954,58.27302250064271,8.430854885057471,5568000.0,18777200.0,-13209200.0
10.0,5834.0,5800.0,34.0,99.4172094617758,0.5827905382242022,58345.0,52743.0,5602.0,9.171531266465301,66.84166567235414,57.67013440588884,9.41503034630489,5602000.0,21097200.0,-15495200.0
11.0,5835.0,5800.0,35.0,99.40017137960582,0.5998286203941774,64180.0,58543.0,5637.0,10.180098874403772,67.2592769359265,57.079178061522725,10.385488735142806,5637000.0,23417200.0,-17780200.0
12.0,5834.0,5789.0,45.0,99.22865958176209,0.7713404182379122,70014.0,64332.0,5682.0,11.186753681706497,67.79620570337669,56.60945202167019,11.3220696937698,5682000.0,25732800.0,-20050800.0
13.0,5835.0,5803.0,32.0,99.4515852613539,0.5484147386461018,75849.0,70135.0,5714.0,12.195842962545624,68.1780217157857,55.98217875324008,12.274238711935597,5714000.0,28054000.0,-22340000.0
14.0,5835.0,5803.0,32.0,99.4515852613539,0.5484147386461018,81684.0,75938.0,5746.0,13.204932243384754,68.55983772819472,55.35490548480997,13.215802297250262,5746000.0,30375200.0,-24629200.0
15.0,5834.0,5798.0,36.0,99.38292766540967,0.6170723345903326,87518.0,81736.0,5782.0,14.213152069389452,68.98938074215488,54.77622867276543,14.13628502248357,5782000.0,32694400.0,-26912400.0
