bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1665.0,388.0,1277.0,23.303303303303302,76.6966966966967,1665.0,388.0,1277.0,0.23643110897158562,53.52053646269908,53.28410535372749,0.3038371182458888
2.0,1665.0,1567.0,98.0,94.11411411411412,5.885885885885884,3330.0,1955.0,1375.0,1.1912959227820874,57.627829002514666,56.43653307973258,1.4218181818181819
3.0,1665.0,1629.0,36.0,97.83783783783784,2.1621621621621614,4995.0,3584.0,1411.0,2.1839409653457804,59.13663034367141,56.95268937832563,2.5400425230333097
4.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,6660.0,5238.0,1422.0,3.1918199711164057,59.59765297569153,56.40583300457513,3.6835443037974684
5.0,1665.0,1652.0,13.0,99.21921921921921,0.7807807807807876,8325.0,6890.0,1435.0,4.198480259830476,60.14249790444258,55.9440176446121,4.801393728222997
6.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,9990.0,8541.0,1449.0,5.20453119001627,60.7292539815591,55.52472279154283,5.894409937888199
7.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,11655.0,10195.0,1460.0,6.212410195786895,61.190276613579215,54.97786641779232,6.982876712328767
8.0,1664.0,1655.0,9.0,99.45913461538461,0.5408653846153868,13319.0,11850.0,1469.0,7.220898560085797,61.567476948868396,54.346578388782596,8.066712049012933
9.0,1665.0,1660.0,5.0,99.69969969969969,0.3003003003003073,14984.0,13510.0,1474.0,8.232433717026087,61.77703269069573,53.544598973669636,9.165535956580733
10.0,1665.0,1646.0,19.0,98.85885885885885,1.1411411411411478,16649.0,15156.0,1493.0,9.235437854570494,62.57334450963956,53.33790665506907,10.151373074346953
11.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,18314.0,16810.0,1504.0,10.24331686034112,63.03436714165968,52.79105028131856,11.17686170212766
12.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,19979.0,18465.0,1514.0,11.251805224640021,63.45347862531433,52.20167340067431,12.196169088507265
13.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,21644.0,20118.0,1526.0,12.259074871882369,63.956412405699915,51.697337533817546,13.18348623853211
14.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,23309.0,21777.0,1532.0,13.270000670294381,64.20787929589271,50.93787862559833,14.214751958224543
15.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,24974.0,23428.0,1546.0,14.276051600480175,64.79463537300921,50.51858377252904,15.153945666235446
16.0,1665.0,1659.0,6.0,99.63963963963964,0.36036036036036023,26639.0,25087.0,1552.0,15.286977398892185,65.04610226320202,49.75912486430983,16.16430412371134
17.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,28304.0,26740.0,1564.0,16.294247046134533,65.54903604358759,49.25478899745306,17.097186700767264
18.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,29969.0,28393.0,1576.0,17.301516693376882,66.05196982397318,48.7504531305963,18.015862944162436
19.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,31634.0,30050.0,1584.0,18.31122377473234,66.3872590108969,48.07603523616456,18.970959595959595
20.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,33299.0,31704.0,1595.0,19.319102780502966,66.84828164291702,47.52917886241405,19.877115987460815
21.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,34964.0,33355.0,1609.0,20.32515371068876,67.43503772003353,47.109884009344775,20.730267246737103
22.0,1664.0,1658.0,6.0,99.63942307692308,0.3605769230769198,36628.0,35013.0,1615.0,21.335470150572494,67.68650461022632,46.35103445965383,21.679876160990712
23.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,38293.0,36668.0,1625.0,22.343958514871396,68.10561609388097,45.76165757900957,22.564923076923076
24.0,1665.0,1645.0,20.0,98.7987987987988,1.2012012012012008,39958.0,38313.0,1645.0,23.346353293887525,68.94383906119027,45.59748576730275,23.290577507598783
25.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,41623.0,39967.0,1656.0,24.35423229965815,69.40486169321039,45.05062939355224,24.13466183574879
26.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,43288.0,41622.0,1666.0,25.362720663957052,69.82397317686505,44.461252512908004,24.983193277310924
27.0,1665.0,1658.0,7.0,99.57957957957957,0.4204204204204274,44953.0,43280.0,1673.0,26.373037103840787,70.1173512154233,43.74431411158251,25.869695158398088
28.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,46618.0,44933.0,1685.0,27.380306751083136,70.62028499580889,43.23997824472575,26.66646884272997
29.0,1665.0,1661.0,4.0,99.75975975975976,0.24024024024024015,48283.0,46594.0,1689.0,28.3924512665517,70.78792958927075,42.39547832271904,27.58673771462404
30.0,1665.0,1654.0,11.0,99.33933933933933,0.6606606606606675,49948.0,48248.0,1700.0,29.400330272322325,71.24895222129086,41.84862194896854,28.381176470588237
31.0,1665.0,1655.0,10.0,99.3993993993994,0.6006006006006004,51613.0,49903.0,1710.0,30.40881863662123,71.66806370494551,41.259245068324276,29.183040935672516
32.0,1665.0,1656.0,9.0,99.45945945945945,0.5405405405405475,53278.0,51559.0,1719.0,31.41791635944841,72.0452640402347,40.627347680786286,29.993600930773706
33.0,1665.0,1657.0,8.0,99.51951951951952,0.4804804804804803,54943.0,53216.0,1727.0,32.42762344080386,72.38055322715843,39.95292978635457,30.814128546612622
34.0,1665.0,1653.0,12.0,99.27927927927928,0.7207207207207205,56608.0,54869.0,1739.0,33.434893088046216,72.883487007544,39.44859391949779,31.552041403105232
35.0,1665.0,1651.0,14.0,99.15915915915916,0.8408408408408405,58273.0,56520.0,1753.0,34.44094401823201,73.47024308466052,39.029299066428514,32.24187107815174
36.0,1664.0,1653.0,11.0,99.3389423076923,0.6610576923076934,59937.0,58173.0,1764.0,35.448213665474356,73.93126571668064,38.483052051206286,32.97789115646258
